"","AAPL","AMGN","AXP","BA","CAT","CRM","CSCO","CVX","DIS","DOW","GS","HD","IBM","INTC","JNJ","JPM","KO","MCD","MMM","MRK","MSFT","NKE","PG","TRV","UNH","V","VZ","WBA","WMT"
"1996-02-27",0.25558,15.09375,13.640092,40.5625,17.34375,NA,5.416667,27.875,21.374166,NA,NA,9.805555,32.1875,7.53125,23.375,23.625,20.53125,25.25,32.375,32.5625,6.257813,4.0625,20.75,28.375,8.109375,NA,29.621443,8.34375,10.875
"1996-02-28",0.247768,15,13.421267,40.375,16.9375,NA,5.305555,27.25,21.661896,NA,NA,9.638889,31.84375,7.59375,23.46875,23.916666,20.34375,24.8125,32.5,32.9375,6.257813,4.039063,20.53125,28.5,7.921875,NA,29.67765,8.34375,10.625
"1996-02-29",0.245536,14.9375,13.384796,40.5625,16.6875,NA,5.277778,27.8125,21.538584,NA,NA,9.611111,30.65625,7.351563,23.375,23.875,20.1875,25,32.5625,33.125,6.167969,4.0625,20.5,28.3125,8.140625,NA,29.733858,8.25,10.625
"1996-03-01",0.239955,15,13.56715,40.25,16.875,NA,5.055555,28.125,21.702999,NA,NA,9.833333,29.53125,7.007813,24,24.25,20.53125,25.1875,32.5,33.6875,5.96875,4.203125,21.15625,29,8.359375,NA,29.733858,8.28125,10.8125
"1996-03-04",0.234375,15.3125,13.676562,40.75,16.96875,NA,4.902778,27.875,21.949625,NA,NA,10.583333,29.03125,6.859375,24.1875,24.25,21,25.6875,32.5,34.1875,6.015625,4.234375,21.40625,29.3125,8.296875,NA,29.509027,8.53125,11.125
"1996-03-05",0.237723,16.03125,13.713034,40.625,16.9375,NA,5.222222,27.6875,21.949625,NA,NA,10.805555,29.75,6.921875,24.0625,24.083334,21.0625,26.375,32.75,34.4375,6.132813,4.34375,21.875,29.0625,8.234375,NA,29.565235,8.59375,11.375
"1996-03-06",0.233817,16.25,13.56715,40.375,16.9375,NA,5.111111,28,21.867416,NA,NA,10.5,29.25,6.65625,23.96875,23.583334,20.78125,26.1875,32.9375,33.125,6.0625,4.539063,21.625,28.8125,8.125,NA,29.396612,8.28125,11.4375
"1996-03-07",0.230469,16.375,13.603621,40.1875,16.9375,NA,5.055555,27.75,21.990728,NA,NA,10.694445,29.28125,6.640625,24.5625,23.125,20.875,26.3125,32.875,33.5,6.082031,4.625,21.875,28.875,8.15625,NA,29.227989,8.53125,11.3125
"1996-03-08",0.232143,15.25,13.020087,39.3125,16.8125,NA,4.888889,26.8125,21.579687,NA,NA,10.361111,28.5625,6.6875,23.75,22.125,20.0625,25.4375,31.5,30.5,5.945313,4.492188,21.3125,27.0625,7.8125,NA,28.609705,8.25,11.25
"1996-03-11",0.231027,15.375,12.983617,41.5,17.46875,NA,5.097222,27.3125,21.826313,NA,NA,10.666667,29.3125,6.90625,23.8125,21.958334,20.28125,25.25,31.75,32.4375,6.03125,4.59375,21.5,27.5,7.9375,NA,28.778328,8.21875,11.125
