PERMNO,date,RETX
10145,03/09/1992,-0.007653
10145,03/10/1992,0.020566
10145,03/11/1992,-0.007557
10145,03/12/1992,-0.022843
10145,03/13/1992,0.007792
10145,03/16/1992,-0.002577
10145,03/17/1992,0.028424
10145,03/18/1992,0.000000
10145,03/19/1992,-0.007538
10145,03/20/1992,0.060759
10145,03/23/1992,0.011933
10145,03/24/1992,0.007075
10145,03/25/1992,0.002342
10145,03/26/1992,0.023364
10145,03/27/1992,-0.041096
10145,03/30/1992,0.002381
10145,03/31/1992,-0.040380
10145,04/01/1992,-0.009901
10145,04/02/1992,0.037500
10145,04/03/1992,-0.009639
10145,04/06/1992,0.012165
10145,04/07/1992,-0.012019
10145,04/08/1992,-0.009732
10145,04/09/1992,0.022113
10145,04/10/1992,0.033654
10145,04/13/1992,0.002326
10145,04/14/1992,0.013921
10145,04/15/1992,0.016018
10145,04/16/1992,0.027027
10145,04/20/1992,-0.008772
10145,04/21/1992,0.004425
10145,04/22/1992,-0.008811
10145,04/23/1992,0.048889
10145,04/24/1992,-0.016949
10145,04/27/1992,-0.006466
10145,04/28/1992,0.002169
10145,04/29/1992,0.015152
10145,04/30/1992,-0.006397
10145,05/01/1992,0.017167
10145,05/04/1992,-0.010549
10145,05/05/1992,-0.008529
10145,05/06/1992,0.010753
10145,05/07/1992,-0.008511
10145,05/08/1992,-0.002146
10145,05/11/1992,0.008602
10145,05/12/1992,0.014925
10145,05/13/1992,-0.006303
10145,05/14/1992,-0.008457
10145,05/15/1992,-0.006397
10145,05/18/1992,0.010730
10145,05/19/1992,0.008493
10145,05/20/1992,-0.002105
10145,05/21/1992,-0.018987
10145,05/22/1992,0.000000
10145,05/26/1992,-0.019355
10145,05/27/1992,0.019737
10145,05/28/1992,-0.010753
10145,05/29/1992,0.008696
10145,06/01/1992,0.000000
10145,06/02/1992,0.049569
10145,06/03/1992,-0.004107
10145,06/04/1992,0.002062
10145,06/05/1992,-0.002058
10145,06/08/1992,-0.018557
10145,06/09/1992,-0.002101
10145,06/10/1992,-0.029474
10145,06/11/1992,0.004338
10145,06/12/1992,-0.004320
10145,06/15/1992,-0.008677
10145,06/16/1992,0.000000
10145,06/17/1992,-0.004376
10145,06/18/1992,-0.032967
10145,06/19/1992,-0.009091
10145,06/22/1992,-0.018349
10145,06/23/1992,-0.016355
10145,06/24/1992,0.009501
10145,06/25/1992,0.002353
10145,06/26/1992,0.007042
10145,06/29/1992,0.016317
10145,06/30/1992,-0.013761
10145,07/01/1992,0.013953
10145,07/02/1992,0.000000
10145,07/06/1992,-0.027523
10145,07/07/1992,-0.028302
10145,07/08/1992,-0.007282
10145,07/09/1992,0.012225
10145,07/10/1992,0.016908
10145,07/13/1992,0.009501
10145,07/14/1992,0.002353
10145,07/15/1992,0.011737
10145,07/16/1992,-0.002320
10145,07/17/1992,-0.011628
10145,07/20/1992,-0.011765
